Host,Port,Protocol,Service,State,Version
192.168.10.19,21,tcp,ftp,open,vsftpd 2.3.4
192.168.10.19,22,tcp,ssh,open,OpenSSH 4.7p1 Debian 8ubuntu1 protocol 2.0
192.168.10.19,23,tcp,telnet,open,Linux telnetd
192.168.10.19,25,tcp,smtp,open,Postfix smtpd
192.168.10.19,53,tcp,domain,open,ISC BIND 9.4.2
192.168.10.19,80,tcp,http,open,Apache httpd 2.2.8 (Ubuntu) DAV/2
192.168.10.19,111,tcp,rpcbind,open,2 RPC #100000
192.168.10.19,139,tcp,netbios-ssn,open,Samba smbd 3.X - 4.X workgroup: WORKGROUP
192.168.10.19,445,tcp,netbios-ssn,open,Samba smbd 3.X - 4.X workgroup: WORKGROUP
192.168.10.19,513,tcp,login,open,OpenBSD or Solaris rlogind
192.168.10.19,514,tcp,shell,open,Unknown
192.168.10.19,2049,tcp,nfs,open,2-4 RPC #100003
192.168.10.19,2121,tcp,ftp,open,ProFTPD 1.3.1
192.168.10.19,3306,tcp,mysql,open,MySQL 5.0.51a-3ubuntu5
192.168.10.19,5432,tcp,postgresql,open,PostgreSQL DB 8.3.0 - 8.3.7
192.168.10.19,5900,tcp,vnc,open,VNC  protocol 3.3
192.168.10.19,6000,tcp,X11,open,access denied
192.168.10.19,8009,tcp,ajp13,open,Apache Jserv  Protocol v1.3
